product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
f819f0c84a64f02d3a5606ca95edd272,relogios_presentes,59.0,452.0,1.0,710.0,19.0,13.0,14.0
b9de40e43fccb6ba53b7eadbd5c49077,utilidades_domesticas,41.0,1188.0,3.0,700.0,70.0,10.0,15.0
26afe4ed5890d941fcba14205863eec7,moveis_decoracao,47.0,1092.0,1.0,3850.0,30.0,30.0,30.0
986870b9985d95ef6205bae1953a61a5,moveis_decoracao,50.0,646.0,1.0,300.0,16.0,30.0,20.0
28ce57ecf4afba85e6020ec0209cada9,cool_stuff,31.0,248.0,2.0,5650.0,73.0,73.0,20.0
7cb2ff3193293db892fd5697aa99a19b,moveis_decoracao,56.0,297.0,2.0,950.0,100.0,5.0,20.0
116a8f521211c179741c051816f2b898,cama_mesa_banho,38.0,353.0,1.0,1200.0,16.0,10.0,16.0
b3e99300a2d0481e7b1d7ce484d498cf,fashion_bolsas_e_acessorios,47.0,395.0,4.0,300.0,16.0,9.0,11.0
609092e5b5c4a202878eb9ba03b47793,brinquedos,29.0,507.0,2.0,500.0,20.0,18.0,18.0
355c91ffac499557d65c0821237b6350,fashion_bolsas_e_acessorios,42.0,770.0,1.0,850.0,16.0,2.0,11.0
dd6171dfce1d62dbf472f83fa352d309,cama_mesa_banho,43.0,862.0,1.0,600.0,20.0,10.0,20.0
a8b5e02c7f69ca5ccdfa99417079d135,livros_tecnicos,41.0,1002.0,1.0,2050.0,28.0,5.0,21.0
af210e7b5709fdeb3984f93a10da094e,beleza_saude,53.0,1112.0,4.0,7525.0,35.0,32.0,35.0
bdb4be6ce2f7f2b5be0a16088028c7fc,utilidades_domesticas,54.0,851.0,1.0,3100.0,45.0,28.0,26.0
50f45d42cdfecd33a2424a1c617d251f,cama_mesa_banho,55.0,221.0,1.0,450.0,16.0,20.0,30.0
1e6981e727154bcd941d51fda894b183,bebes,18.0,778.0,2.0,1450.0,18.0,44.0,34.0
35afc973633aaeb6b877ff57b2793310,casa_conforto,56.0,176.0,1.0,1825.0,53.0,10.0,40.0
b83738ac1903f7c8f0ed378cb085909c,eletronicos,56.0,1184.0,3.0,5700.0,20.0,15.0,13.0
cce679660c66e6fbd5c8091dfd29e9cd,cama_mesa_banho,43.0,125.0,1.0,250.0,40.0,4.0,30.0
199f076c011ea5e8b546bff05d4f2477,moveis_decoracao,47.0,616.0,3.0,1300.0,105.0,15.0,15.0
c6bdd07f0a20ccd19d51de91c1551952,informatica_acessorios,48.0,561.0,3.0,300.0,16.0,8.0,11.0
9ed00cd89e3b3a0107996fe62feab381,telefonia,59.0,818.0,6.0,350.0,17.0,4.0,12.0
291c7fc5097e83062a4377ca30c6b834,telefonia,42.0,509.0,1.0,350.0,17.0,7.0,28.0
aca71e1fceaea4278f27aab8a3498f60,automotivo,57.0,1331.0,4.0,100.0,16.0,4.0,12.0
4eb0d9529369cb573f792d489af46f51,ferramentas_jardim,37.0,98.0,1.0,2450.0,22.0,20.0,18.0
0538b3ea14af3cc3ee6bdaf940367cee,,,,,150.0,20.0,4.0,20.0
30a47cc354b9607076272300c899dce9,bebes,26.0,1594.0,5.0,450.0,26.0,7.0,22.0
2f46e035eccda1e1e2127096bb7483e7,esporte_lazer,55.0,1920.0,3.0,1800.0,28.0,8.0,15.0
72b253635b316f49e42e618d6e585ebc,brinquedos,23.0,273.0,1.0,125.0,22.0,7.0,14.0
564a04f027fb97b53ca08464632db860,relogios_presentes,46.0,2021.0,3.0,550.0,20.0,12.0,15.0
1bc861b90a53405f92c18482e45e897c,malas_acessorios,45.0,225.0,1.0,600.0,47.0,10.0,34.0
13db47eae724e2848e12b71a617a3a41,audio,34.0,468.0,1.0,425.0,17.0,11.0,14.0
e47eff9f97c9536c9f768f86e13252f6,,,,,10250.0,40.0,32.0,32.0
e7261ba9b589b73ac45411a15058403e,informatica_acessorios,60.0,491.0,1.0,1600.0,25.0,9.0,25.0
c8e7c2ef329fcda4a233e7e2f8bb8b7d,utilidades_domesticas,58.0,1245.0,1.0,200.0,16.0,12.0,11.0
ae52eeb8383b94455f0a08b1f88ad002,informatica_acessorios,60.0,882.0,1.0,167.0,21.0,13.0,12.0
10dae91e0aba95747e90280edeffe883,bebes,54.0,1027.0,3.0,100.0,17.0,6.0,11.0
e09cef1f7f2bc3a9c9d996608944de19,cama_mesa_banho,50.0,325.0,2.0,1300.0,37.0,23.0,35.0
ccf62ee5ee151b8c5ce49beda185a66e,moveis_decoracao,63.0,455.0,6.0,18950.0,85.0,7.0,85.0
89f055104adb9365d7f7b5c475f77742,beleza_saude,38.0,395.0,1.0,114.0,19.0,16.0,17.0
b4bbe69ef82d98f932d5c94987c42938,bebes,52.0,744.0,2.0,517.0,19.0,18.0,18.0
ed464125465d8ab04c3615963d27395c,casa_construcao,56.0,904.0,6.0,700.0,39.0,7.0,39.0
a88124e0b1d42ca7b0813a78ff630437,construcao_ferramentas_construcao,55.0,338.0,1.0,2600.0,23.0,8.0,23.0
8e371c2303bcf90383f6cebd67f2dffe,brinquedos,48.0,236.0,1.0,450.0,45.0,15.0,35.0
f5e48ba4fcfdf3920b7a857b261a3ef3,construcao_ferramentas_construcao,59.0,648.0,1.0,200.0,21.0,7.0,14.0
d556492cb91418b6a9d9613592b4367f,telefonia_fixa,51.0,352.0,1.0,100.0,19.0,3.0,11.0
e7f85596b92f92cb501855897696f66b,fashion_underwear_e_moda_praia,54.0,1152.0,6.0,2300.0,16.0,5.0,11.0
0a1c4b9c1ca294b2c85dbe2d4920abe6,papelaria,47.0,111.0,1.0,6250.0,30.0,10.0,30.0
0be79cf589781c512bd91976eadeeff0,consoles_games,45.0,304.0,1.0,200.0,25.0,5.0,15.0
af64874ef27a7dc357905b75ea78555a,fashion_bolsas_e_acessorios,51.0,250.0,7.0,350.0,17.0,4.0,13.0
cfa14c9ef22bd6c41e20df06de9dfa76,utilidades_domesticas,60.0,217.0,2.0,9950.0,61.0,31.0,31.0
9ce6c37f9df63de67692c3f7d4d209f1,moveis_decoracao,53.0,194.0,11.0,1100.0,31.0,11.0,26.0
a08ffa6ecdd0ab3c1f4fe348acc2553b,,,,,1000.0,40.0,8.0,40.0
b1c791ce2fd764b4aaea6b9064b224ac,perfumaria,52.0,425.0,3.0,400.0,23.0,8.0,15.0
e7dffcd8a3257cf9f6644b7d30eaf727,relogios_presentes,55.0,1355.0,5.0,500.0,18.0,11.0,14.0
dd77ffae83ea4313783323ea026dbf0a,casa_construcao,51.0,915.0,6.0,850.0,16.0,27.0,16.0
6f7df385d032846d2941c806179cc78e,automotivo,60.0,1301.0,1.0,1800.0,16.0,22.0,16.0
7d1f165a4a03757ada8c56e9aba9fb41,moveis_decoracao,52.0,500.0,1.0,8200.0,30.0,30.0,30.0
106ebc8f9982193679d02a4584947b89,automotivo,59.0,114.0,1.0,300.0,16.0,2.0,11.0
fc94d52bb346616a130e657a8fac829b,bebes,58.0,233.0,1.0,7100.0,41.0,40.0,40.0
fdc3af4045c7316cadde9fda3c335932,instrumentos_musicais,54.0,267.0,3.0,300.0,32.0,3.0,16.0
ff7824d83aca56224fa3e3b524748ec5,esporte_lazer,27.0,383.0,3.0,600.0,28.0,25.0,25.0
d7a0d43b22866d7a8c1c22532daff378,cama_mesa_banho,51.0,441.0,2.0,2950.0,100.0,10.0,11.0
7d761cef314675473eda87ecc3b7e751,cama_mesa_banho,45.0,729.0,1.0,1250.0,20.0,30.0,30.0
46e4940f28c9231a801873e62ca55c53,perfumaria,50.0,54.0,1.0,50.0,30.0,10.0,20.0
d761571f5524f788ce8a5797c4cd732f,beleza_saude,60.0,695.0,2.0,900.0,25.0,30.0,20.0
ead72457c58dcea14f94c2223c684716,esporte_lazer,51.0,2050.0,1.0,50.0,20.0,16.0,12.0
a9dad2ea6b0cb39733febae5b7ec1dda,utilidades_domesticas,58.0,143.0,1.0,790.0,36.0,8.0,25.0
79792fabf714677e94472c3ce5e719a5,moveis_decoracao,57.0,646.0,1.0,300.0,16.0,30.0,20.0
c519f4684e315ead8f279de375f4aa61,informatica_acessorios,46.0,311.0,2.0,300.0,24.0,9.0,17.0
7ad1208884270048a2176ff437f49a9b,cama_mesa_banho,52.0,244.0,1.0,2300.0,45.0,15.0,35.0
ea5708a5c7124ed181b770fe811ec775,papelaria,60.0,501.0,6.0,550.0,22.0,7.0,15.0
c8e3b23381d275296ec611061b616789,beleza_saude,60.0,1493.0,4.0,468.0,23.0,9.0,22.0
7a63b90eac4831fa1eed304ebb910716,informatica_acessorios,39.0,615.0,1.0,200.0,16.0,5.0,11.0
96cc6d39d2114a36f318d641c3cae43d,brinquedos,49.0,323.0,2.0,250.0,16.0,20.0,20.0
f5068d43799fc3243cf62b290d885d3e,consoles_games,55.0,546.0,5.0,400.0,16.0,6.0,21.0
d5de9e83335830f4597d314e63845eb3,ferramentas_jardim,59.0,1125.0,6.0,11600.0,52.0,23.0,22.0
819cc553cef53e5f33e1e74ef5133409,beleza_saude,60.0,543.0,3.0,1075.0,23.0,8.0,20.0
60567eaf5cdf794639e94508ec387a82,fashion_bolsas_e_acessorios,55.0,903.0,1.0,3350.0,62.0,20.0,40.0
7b0f65d848af0681e064d72f0d44e862,informatica_acessorios,27.0,645.0,2.0,125.0,18.0,3.0,11.0
e5e0c45564bc74a85e8e51968fdefa8d,automotivo,56.0,840.0,1.0,1800.0,45.0,20.0,45.0
0df2a7a1ee25a81b032358dbb083319b,moveis_decoracao,42.0,1931.0,3.0,3800.0,70.0,4.0,55.0
41587317a0dfddc726a29e86b9527f48,consoles_games,60.0,123.0,1.0,600.0,20.0,11.0,17.0
b00cef861f6f633cc9eded86aedd8f3a,cama_mesa_banho,50.0,381.0,1.0,2200.0,47.0,21.0,41.0
bf4aa8e63457632377b86424e38fb071,utilidades_domesticas,46.0,674.0,3.0,200.0,20.0,20.0,20.0
